brand,note
KFC,식약처 후보 배제용 — 지점명(~점) 목록에 없어 복구 시 누락됐던 브랜드
60계치킨,지점명 검토(2026-08-06)
79대포,지점명 검토(2026-08-06)
강화통통생고기,지점명 검토(2026-08-06)
고기싸롱,지점명 검토(2026-08-06)
고양꼬치,지점명 검토(2026-08-06)
교촌치킨,지점명 검토(2026-08-06)
굽네치킨,지점명 검토(2026-08-06)
김밥천국,지점명 검토(2026-08-06)
낭낭오리집,지점명 검토(2026-08-06)
댄싱컵,지점명 검토(2026-08-06)
던킨,지점명 검토(2026-08-06)
동대문엽기떡볶이,지점명 검토(2026-08-06)
등촌샤브칼국수,지점명 검토(2026-08-06)
롯데리아,지점명 검토(2026-08-06)
메가MGC커피,지점명 검토(2026-08-06)
버거킹,지점명 검토(2026-08-06)
보드람치킨,지점명 검토(2026-08-06)
복호두,지점명 검토(2026-08-06)
빽다방,지점명 검토(2026-08-06)
샹츠마라,지점명 검토(2026-08-06)
서부청기와감자탕,지점명 검토(2026-08-06)
서오릉피자그랩,지점명 검토(2026-08-06)
설빙,지점명 검토(2026-08-06)
숙성회136,지점명 검토(2026-08-06)
스타벅스,지점명 검토(2026-08-06)
스텔라떡볶이,지점명 검토(2026-08-06)
써브웨이,지점명 검토(2026-08-06)
역대급피자,지점명 검토(2026-08-06)
육초연,지점명 검토(2026-08-06)
제주은희네해장국,지점명 검토(2026-08-06)
족발신선생,지점명 검토(2026-08-06)
지호한방삼계탕,지점명 검토(2026-08-06)
청년다방,지점명 검토(2026-08-06)
춘리마라탕,지점명 검토(2026-08-06)
크리스피크림도넛,지점명 검토(2026-08-06)
투썸플레이스,지점명 검토(2026-08-06)
파주닭국수,지점명 검토(2026-08-06)
프랭크버거,지점명 검토(2026-08-06)
피자스쿨,지점명 검토(2026-08-06)
