keyword,food_type,note
# 정규화된 메뉴명에 부분일치로 적용된다,,
# 긴 키워드가 짧은 키워드를 밀어낸다 — 탕수육이 걸리면 '탕'은 무시된다,,
# food_type이 '-'면 밀어내는 역할만 하고 태그는 붙이지 않는다,,
# 한 키워드에 두 종류를 주려면 줄을 두 번 쓴다 (아래 돈까스 참고),,
# food_type이 비어 있으면 그 줄은 무시된다,,
중국,-,'중국식냉면'이 '국'에 걸려 국물 요리가 되는 것을 막는다
삼겹살,MEAT,
목살,MEAT,
항정살,MEAT,
갈매기살,MEAT,
등심,MEAT,
안심,MEAT,
채끝,MEAT,
차돌,MEAT,
우삼겹,MEAT,
갈비,MEAT,
갈비살,MEAT,
떡갈비,MEAT,'떡'이 아니라 고기다
불고기,MEAT,
제육,MEAT,
돼지,MEAT,
소고기,MEAT,
한우,MEAT,
닭갈비,MEAT,
닭발,MEAT,
찜닭,MEAT,
닭꼬치,MEAT,
족발,MEAT,
보쌈,MEAT,
수육,MEAT,
곱창,MEAT,
대창,MEAT,
막창,MEAT,
염통,MEAT,
스테이크,MEAT,
육회,MEAT,'회'(해산물)를 밀어낸다
양갈비,MEAT,
양꼬치,MEAT,
오리,MEAT,
훈제,MEAT,
소시지,MEAT,
버거,MEAT,패티 기준 — 9종에 별도 분류가 없다
치킨,MEAT,
치킨,FRIED,
돈까스,MEAT,
돈까스,FRIED,
돈가스,MEAT,
돈가스,FRIED,
탕수육,MEAT,'탕'(국물)을 밀어낸다
탕수육,FRIED,
면,NOODLE,
국수,NOODLE,
라면,NOODLE,
우동,NOODLE,
파스타,NOODLE,
스파게티,NOODLE,
짜장,NOODLE,
짬뽕,NOODLE,
냉면,NOODLE,
쫄면,NOODLE,
소바,NOODLE,
칼국수,NOODLE,
막국수,NOODLE,
쌀국수,NOODLE,
당면,NOODLE,
라볶이,NOODLE,
라볶이,SNACK,
밥,RICE,
덮밥,RICE,
비빔밥,RICE,
볶음밥,RICE,
김밥,RICE,
김밥,SNACK,
초밥,RICE,
초밥,SEAFOOD,
주먹밥,RICE,
리조또,RICE,
오므라이스,RICE,
카레,RICE,
죽,RICE,
국,SOUP,
탕,SOUP,
찌개,SOUP,
전골,SOUP,
국밥,SOUP,'국'과 '밥' 양쪽에 걸리므로 국물로 확정한다
해장국,SOUP,
곰탕,SOUP,
설렁탕,SOUP,
육개장,SOUP,
순대국,SOUP,
감자탕,SOUP,
갈비탕,SOUP,
떡국,SOUP,
수제비,SOUP,
스프,SOUP,
수프,SOUP,
샤브,SOUP,
떡볶이,SNACK,
순대,SNACK,
만두,SNACK,
어묵,SNACK,
오뎅,SNACK,
핫도그,SNACK,
파전,SNACK,
김치전,SNACK,
부침개,SNACK,
모듬전,SNACK,
튀김,FRIED,
후라이드,FRIED,
프라이드,FRIED,
강정,FRIED,
가라아게,FRIED,
멘보샤,FRIED,
샐러드,SALAD,
나물,SALAD,
겉절이,SALAD,
무침,SALAD,
회,SEAFOOD,
새우,SEAFOOD,
낙지,SEAFOOD,
오징어,SEAFOOD,
문어,SEAFOOD,
조개,SEAFOOD,
꽃게,SEAFOOD,
대게,SEAFOOD,
게장,SEAFOOD,
연어,SEAFOOD,
광어,SEAFOOD,
참치,SEAFOOD,
장어,SEAFOOD,
전복,SEAFOOD,
골뱅이,SEAFOOD,
해물,SEAFOOD,
해산물,SEAFOOD,
아구,SEAFOOD,
동태,SEAFOOD,
고등어,SEAFOOD,
갈치,SEAFOOD,
삼치,SEAFOOD,
멸치,SEAFOOD,
미역,SEAFOOD,
굴소스,-,'굴소스볶음밥'이 해산물로 잡히는 것을 막는다
오향장육,MEAT,
장육,MEAT,
동파육,MEAT,
편육,MEAT,
육전,MEAT,
베이컨,MEAT,
뼈찜,MEAT,
고추잡채,MEAT,'잡채'(면)를 밀어낸다 — 당면이 아니라 돼지고기볶음이다
마라샹궈,MEAT,
라조기,MEAT,
라조기,FRIED,
깐풍기,MEAT,
깐풍기,FRIED,
유린기,MEAT,
유린기,FRIED,
꿔바로우,MEAT,찹쌀탕수육
꿔바로우,FRIED,
잡채,NOODLE,당면
뇨끼,NOODLE,
라비올리,NOODLE,
빠에야,RICE,
마라탕,SOUP,
훠궈,SOUP,
사시미,SEAFOOD,
스시,SEAFOOD,
팔보채,SEAFOOD,
전가복,SEAFOOD,
감바스,SEAFOOD,
랍스터,SEAFOOD,
킹크랩,SEAFOOD,
멍게,SEAFOOD,
해삼,SEAFOOD,
굴,SEAFOOD,'굴소스'는 위 차단어가 막는다
젓갈,SEAFOOD,
굴젓,SEAFOOD,
대구,SEAFOOD,
도미,SEAFOOD,
우럭,SEAFOOD,
방어,SEAFOOD,
케이크,DESSERT,
아이스크림,DESSERT,
빙수,DESSERT,
와플,DESSERT,
마카롱,DESSERT,
쿠키,DESSERT,
크로플,DESSERT,
티라미수,DESSERT,
도넛,DESSERT,
빵,DESSERT,
베이글,DESSERT,
스콘,DESSERT,
푸딩,DESSERT,
피자,PIZZA,
피자썹,SANDWICH,써브웨이 샌드위치다 — '피자'(PIZZA)를 밀어낸다
샌드위치,SANDWICH,
파니니,SANDWICH,
토스트,SANDWICH,
