major_category,food_types,건수,비고
빵 및 과자류,DESSERT,8600,
음료 및 차류,,3191,"음료는 FoodType 9종에 대응이 없다. 카페를 노출하지 않기로 해 당장은 비워둔다"
유제품류 및 빙과류,DESSERT,663,아이스크림·요거트류
국 및 탕류,SOUP,506,
생채·무침류,SALAD,501,"생채·무침은 9종 중 SALAD가 가장 가깝다 — 검토 필요"
볶음류,,495,"제육볶음(MEAT)·볶음밥(RICE)·오징어볶음(SEAFOOD)이 섞여 있어 대분류로는 못 정한다. 메뉴명 키워드에 맡긴다"
튀김류,FRIED,472,
밥류,RICE,421,
면 및 만두류,NOODLE,341,"만두는 키워드(만두→SNACK)로 따로 잡는다 — 국수까지 분식으로 검색되면 안 되므로"
찌개 및 전골류,SOUP,339,
구이류,MEAT,289,"생선구이도 섞여 있으나 대부분 고기. 생선은 키워드(고등어·삼치 등→SEAFOOD)로 보강"
나물·숙채류,SALAD,248,"나물=샐러드는 아니지만 9종 중 가장 가깝다 — 검토 필요"
조림류,,229,"갈치조림(SEAFOOD)·장조림(MEAT)이 섞여 있다. 키워드에 맡긴다"
전·적 및 부침류,SNACK,198,"김치전·파전 등 — 검토 필요"
찜류,,177,"찜닭(MEAT)·해물찜(SEAFOOD)이 섞여 있다. 키워드에 맡긴다"
죽 및 스프류,RICE,105,"죽이 대부분이라 RICE. 스프는 소수 — 검토 필요"
김치류,,52,"반찬이라 9종에 대응이 없다"
"장류, 양념류",,25,요리가 아님
장아찌·절임류,,24,반찬
젓갈류,SEAFOOD,17,
수·조·어·육류,,8,"고기와 생선이 한 분류에 섞여 있어 대분류로는 못 정한다"
"곡류, 서류 제품",,6,원재료
과일류,,1,원재료
"두류, 견과 및 종실류",,1,원재료
"채소, 해조류",,1,원재료
