term,food_type,note
# 검색창에 사용자가 칠 법한 말 → FoodType,,
# 저장 시 소문자화·공백제거된다 (Spring SynonymResolver와 같은 규칙),,
# term은 UNIQUE라 한 검색어는 한 종류에만 연결된다,,
고기,MEAT,
육류,MEAT,
고기류,MEAT,
정육,MEAT,
구이,MEAT,
삼겹살,MEAT,
소고기,MEAT,
돼지고기,MEAT,
닭고기,MEAT,
치킨,MEAT,
스테이크,MEAT,
면,NOODLE,
면류,NOODLE,
국수,NOODLE,
누들,NOODLE,
파스타,NOODLE,
라면,NOODLE,
밥,RICE,
밥류,RICE,
쌀,RICE,
백반,RICE,
덮밥,RICE,
한식,RICE,
국,SOUP,
국물,SOUP,
탕,SOUP,
찌개,SOUP,
국물요리,SOUP,
따뜻한국물,SOUP,
해장,SOUP,
분식,SNACK,
떡볶이,SNACK,
간식,SNACK,
샐러드,SALAD,
채소,SALAD,
야채,SALAD,
다이어트식,SALAD,
해산물,SEAFOOD,
해물,SEAFOOD,
수산물,SEAFOOD,
생선,SEAFOOD,
회,SEAFOOD,
조개류,SEAFOOD,
튀김,FRIED,
튀김류,FRIED,
프라이드,FRIED,
기름진음식,FRIED,
디저트,DESSERT,
후식,DESSERT,
빵,DESSERT,
베이커리,DESSERT,
케이크,DESSERT,
단것,DESSERT,
피자,PIZZA,
샌드위치,SANDWICH,
파니니,SANDWICH,
써브웨이,SANDWICH,
